X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1338.0,1338.0,train,4.517392832662673E-4,66.26095793090154,0.6581409988460337
1339.0,1339.0,train,4.2894238413246507E-4,62.34992507337953,0.6463968096242374
1340.0,1340.0,train,2.7594957984648316E-4,40.77204416137743,0.5404448842921108
1342.0,1342.0,train,5.594709197167536E-4,82.53359928233843,0.7045182502809412
1344.0,1344.0,train,4.95763011581652E-4,73.7954653353898,0.67874572392348
1345.0,1345.0,train,6.428719862764505E-4,91.05489525847669,0.7326013794367413
1346.0,1346.0,train,1.603100874399332E-4,26.451773782484782,0.405891904488303
1347.0,1347.0,train,4.6809882446304207E-4,69.3629648278167,0.6660992850961047
1348.0,1348.0,train,6.296942310114E-4,89.51337856817841,0.7285246196868105
1349.0,1349.0,train,4.1084414126531466E-4,59.830917605457735,0.6364825117357686
1351.0,1351.0,train,4.850362862359722E-4,72.02248047482306,0.6739575010253991
1352.0,1352.0,train,5.422031401614078E-4,80.24049713068992,0.6979503034303184
1353.0,1353.0,train,2.8951506110279747E-4,42.70124030727175,0.5523383058536676
1354.0,1354.0,train,2.12229739942913E-4,33.41704883818237,0.47491731705618956
1355.0,1355.0,train,5.273104555050547E-4,78.3991534961917,0.6920466563224048
1356.0,1356.0,train,8.16574273259516E-5,15.870756866295073,0.25816046548574684
1358.0,1358.0,train,7.848277762661721E-6,1.2971007712911637,0.032364595493361306
1359.0,1359.0,train,3.1981679391466757E-4,46.569772770551104,0.5768032266611497
1360.0,1360.0,train,4.3670214805280647E-4,63.875727635273776,0.6504839157781318
1361.0,1361.0,train,6.09783991610427E-4,88.017875687033,0.7221236980419924
1362.0,1362.0,train,3.6456601674028546E-4,52.46529885249128,0.608407531593842
1364.0,1364.0,train,2.0497071496742815E-4,32.506065050425406,0.4662470932616225
1366.0,1366.0,train,4.1800186400354377E-4,60.86077203490234,0.6404692732867612
1367.0,1367.0,train,4.439169437874645E-4,64.88449452407585,0.6542001245715281
1369.0,1369.0,train,4.305443472983916E-4,62.53012234175135,0.6472483824275798
1370.0,1370.0,train,4.7563310418578017E-4,70.3319951019245,0.6696411266868347
1372.0,1372.0,train,4.5653679795890697E-4,67.13992059389967,0.6605138443884052
1373.0,1373.0,train,3.077909474516549E-4,45.09908398350367,0.567420965057399
1374.0,1374.0,train,7.244785565562176E-4,96.01026020443564,0.7553528042030253
1378.0,1378.0,train,1.6277984635348897E-4,26.80200258549966,0.4095839095232465
1379.0,1379.0,train,6.520603094284487E-4,91.89251636355462,0.7353722413931267
1380.0,1380.0,train,3.8309306350038923E-4,55.37377344696849,0.6201520282310503
1381.0,1381.0,train,2.6063821838758356E-4,39.3911676760495,0.5262381058149666
1382.0,1382.0,train,4.860644135909774E-4,72.26658616513647,0.6744226150406872
1383.0,1383.0,train,4.468816787683032E-4,65.38247798347767,0.6557043961694105
1385.0,1385.0,train,4.3609561952533664E-4,63.66777521904785,0.6501678611371593
1386.0,1386.0,train,3.558986754980436E-4,51.33797398792834,0.6026601985465204
1387.0,1387.0,train,5.12553977256756E-4,76.26152775203863,0.6859648872754178
1388.0,1388.0,train,6.859695457722661E-4,94.29884093164316,0.7451193183660961
1389.0,1389.0,train,2.3239538611902693E-4,36.05637800167021,0.49758896436649686
1391.0,1391.0,train,4.3195772697721856E-4,62.855458638803334,0.6479963093078718
1394.0,1394.0,train,3.121540160084408E-4,45.771230206143244,0.5708726233460674
1395.0,1395.0,train,8.325256008623694E-4,98.64347194561174,0.7801223625598627
1397.0,1397.0,train,3.1997320016210155E-4,46.602992880656124,0.5769225706005314
1398.0,1398.0,train,8.414343371196099E-4,98.92324524190494,0.7819426998361573
1400.0,1400.0,train,6.070463625424881E-4,87.86419289674977,0.7212198988399268
1402.0,1402.0,train,7.414346441174803E-4,96.56247651976605,0.759602712161791
1404.0,1404.0,train,4.0338115663532577E-4,58.895857444845106,0.6322304685107863
1406.0,1406.0,train,6.15096338844794E-4,88.63510403290854,0.7238608985209736
1408.0,1408.0,train,6.296249085515287E-4,89.50239883975007,0.7285028449072767
1411.0,1411.0,train,6.864815228239908E-4,94.32028649969502,0.7452609847957303
1412.0,1412.0,train,2.796286891661696E-4,41.23097074136466,0.5437325214490808
1414.0,1414.0,train,4.7136200317239254E-4,69.85183026258316,0.6676425755174151
1415.0,1415.0,train,5.789116450162815E-4,84.80057624573897,0.7115790516511643
1417.0,1417.0,train,2.655595528225896E-4,39.94736782485462,0.5308992570517398
1418.0,1418.0,train,6.673509576685452E-4,92.9921710834233,0.7398582024678023
1419.0,1419.0,train,2.0578202844608514E-4,32.581624551961035,0.46723031736296466
1422.0,1422.0,train,5.409011451797675E-4,80.06699791008658,0.697443220874657
1423.0,1423.0,train,3.6738023063117653E-4,52.91640815447528,0.6102380535245053
1424.0,1424.0,train,4.3421031871232024E-4,63.29854792311613,0.6491817938487656
1425.0,1425.0,train,2.3504565510204102E-4,36.510399388384734,0.5004238457553956
1426.0,1426.0,train,4.612506271172288E-4,68.16595252737993,0.6628134334752936
1427.0,1427.0,train,3.7225467004884484E-4,53.518624761310775,0.6133684937973143
1428.0,1428.0,train,2.7673525056947463E-4,40.85599651178181,0.5411509288340282
1430.0,1430.0,train,2.467302133328983E-4,38.033443021268276,0.5125501376482178
1431.0,1431.0,train,1.4972859887617567E-5,3.380801852687397,0.05998252659464664
1432.0,1432.0,train,1.2427062965932152E-5,2.650364861951429,0.05029681245456719
1434.0,1434.0,train,5.56473216350465E-4,82.0217692104038,0.7033986150378267
1436.0,1436.0,train,4.299607919530837E-4,62.46443587912943,0.6469386509745867
1438.0,1438.0,train,2.3710171238220806E-5,5.482838774593665,0.09177266193058403
1439.0,1439.0,train,7.258532779436481E-5,14.510583983004178,0.2362551172276257
1441.0,1441.0,train,1.1714820177621733E-4,20.37649027154257,0.3330006623662495
1442.0,1442.0,train,1.291386646432994E-4,22.201289232994153,0.35498509048125304
1443.0,1443.0,train,4.1552480683238613E-4,60.50158762656699,0.6390995161389688
1444.0,1444.0,train,1.014094737862732E-4,18.610466912544776,0.30176274154610633
